"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Aug 18 01:25:20 GMT 2024","Sun Aug 18 01:25:23 GMT 2024","3009","chromium","registration.spec.ts","Registration page","","","should show message if user already exist",""
"passed","Sun Aug 18 01:27:37 GMT 2024","Sun Aug 18 01:27:43 GMT 2024","6420","firefox","registration.spec.ts","Registration page","","","should register with right data",""
"passed","Sun Aug 18 01:24:48 GMT 2024","Sun Aug 18 01:25:03 GMT 2024","15859","chromium","registration.spec.ts","Registration page","","","should register with right data",""
"passed","Sun Aug 18 01:22:32 GMT 2024","Sun Aug 18 01:22:59 GMT 2024","27130","chromium","dashboard.spec.ts","","","","Create login context",""
"failed","Sun Aug 18 01:28:33 GMT 2024","Sun Aug 18 01:28:34 GMT 2024","451","webkit","dashboard.spec.ts","Dashboard page","","","should have segments analisis",""
"passed","Sun Aug 18 01:27:47 GMT 2024","Sun Aug 18 01:27:51 GMT 2024","4024","firefox","registration.spec.ts","Registration page","","","should have validation",""
"passed","Sun Aug 18 01:27:43 GMT 2024","Sun Aug 18 01:27:47 GMT 2024","4000","firefox","registration.spec.ts","Registration page","","","should have disabled submit button if form is empty",""
"passed","Sun Aug 18 01:28:34 GMT 2024","Sun Aug 18 01:28:35 GMT 2024","393","webkit","dashboard.spec.ts","Dashboard page","","","should have words cloud",""
"passed","Sun Aug 18 01:29:12 GMT 2024","Sun Aug 18 01:29:16 GMT 2024","4093","webkit","login.spec.ts","Login form","","","should do password visible on eye button click",""
"passed","Sun Aug 18 01:28:35 GMT 2024","Sun Aug 18 01:28:35 GMT 2024","268","webkit","dashboard.spec.ts","Dashboard page","","","should have new urls report",""
"passed","Sun Aug 18 01:23:01 GMT 2024","Sun Aug 18 01:23:01 GMT 2024","240","chromium","dashboard.spec.ts","Dashboard page","","","should have words cloud",""
"broken","Sun Aug 18 01:30:22 GMT 2024","Sun Aug 18 01:30:53 GMT 2024","30921","webkit","registration.spec.ts","Registration page","","","should register with right data",""
"failed","Sun Aug 18 01:28:03 GMT 2024","Sun Aug 18 01:28:08 GMT 2024","4769","firefox","registration.spec.ts","Registration page","","","should show message if user already exist",""
"failed","Sun Aug 18 01:23:20 GMT 2024","Sun Aug 18 01:23:23 GMT 2024","2776","chromium","login.spec.ts","Login form","","","should login with right creds",""
"passed","Sun Aug 18 01:25:03 GMT 2024","Sun Aug 18 01:25:07 GMT 2024","3424","chromium","registration.spec.ts","Registration page","","","should have disabled submit button if form is empty",""
"passed","Sun Aug 18 01:25:28 GMT 2024","Sun Aug 18 01:25:31 GMT 2024","2753","chromium","registration.spec.ts","Registration page","","","should have google terms and privacy links",""
"passed","Sun Aug 18 01:31:22 GMT 2024","Sun Aug 18 01:31:27 GMT 2024","5143","webkit","registration.spec.ts","Registration page","","","should have terms and privacy links",""
"passed","Sun Aug 18 01:28:14 GMT 2024","Sun Aug 18 01:28:18 GMT 2024","3315","firefox","registration.spec.ts","Registration page","","","should have google terms and privacy links",""
"passed","Sun Aug 18 01:26:20 GMT 2024","Sun Aug 18 01:26:24 GMT 2024","4336","firefox","login.spec.ts","Login form","","","should show errors, if fields empty",""
"passed","Sun Aug 18 01:25:48 GMT 2024","Sun Aug 18 01:25:48 GMT 2024","252","firefox","dashboard.spec.ts","Dashboard page","","","should have new urls report",""
"passed","Sun Aug 18 01:26:27 GMT 2024","Sun Aug 18 01:26:31 GMT 2024","3573","firefox","login.spec.ts","Login form","","","should do password visible on eye button click",""
"failed","Sun Aug 18 01:28:59 GMT 2024","Sun Aug 18 01:29:03 GMT 2024","4159","webkit","login.spec.ts","Login form","","","should show error alert, if creds wrong",""
"passed","Sun Aug 18 01:30:55 GMT 2024","Sun Aug 18 01:30:59 GMT 2024","4500","webkit","registration.spec.ts","Registration page","","","should have disabled submit button if form is empty",""
"failed","Sun Aug 18 01:28:45 GMT 2024","Sun Aug 18 01:28:49 GMT 2024","4059","webkit","login.spec.ts","Login form","","","should login with right creds",""
"passed","Sun Aug 18 01:28:09 GMT 2024","Sun Aug 18 01:28:14 GMT 2024","4865","firefox","registration.spec.ts","Registration page","","","should have terms and privacy links",""
"failed","Sun Aug 18 01:25:59 GMT 2024","Sun Aug 18 01:26:03 GMT 2024","4620","firefox","login.spec.ts","Login form","","","should login with right creds",""
"passed","Sun Aug 18 01:25:25 GMT 2024","Sun Aug 18 01:25:28 GMT 2024","3670","chromium","registration.spec.ts","Registration page","","","should have terms and privacy links",""
"passed","Sun Aug 18 01:31:27 GMT 2024","Sun Aug 18 01:31:31 GMT 2024","3919","webkit","registration.spec.ts","Registration page","","","should have google terms and privacy links",""
"passed","Sun Aug 18 01:25:31 GMT 2024","Sun Aug 18 01:25:38 GMT 2024","6562","firefox","dashboard.spec.ts","","","","Create login context",""
"passed","Sun Aug 18 01:28:35 GMT 2024","Sun Aug 18 01:28:35 GMT 2024","285","webkit","dashboard.spec.ts","Dashboard page","","","should have shipping countries report",""
"failed","Sun Aug 18 01:23:00 GMT 2024","Sun Aug 18 01:23:01 GMT 2024","324","chromium","dashboard.spec.ts","Dashboard page","","","should have segments analisis",""
"passed","Sun Aug 18 01:26:24 GMT 2024","Sun Aug 18 01:26:27 GMT 2024","3369","firefox","login.spec.ts","Login form","","","should show error, if email field filled, but it is not an email",""
"passed","Sun Aug 18 01:29:08 GMT 2024","Sun Aug 18 01:29:12 GMT 2024","4136","webkit","login.spec.ts","Login form","","","should show error, if email field filled, but it is not an email",""
"failed","Sun Aug 18 01:31:16 GMT 2024","Sun Aug 18 01:31:20 GMT 2024","4228","webkit","registration.spec.ts","Registration page","","","should show message if user already exist",""
"passed","Sun Aug 18 01:28:18 GMT 2024","Sun Aug 18 01:28:32 GMT 2024","13096","webkit","dashboard.spec.ts","","","","Create login context",""
"passed","Sun Aug 18 01:25:07 GMT 2024","Sun Aug 18 01:25:11 GMT 2024","3756","chromium","registration.spec.ts","Registration page","","","should have validation",""
"passed","Sun Aug 18 01:23:33 GMT 2024","Sun Aug 18 01:23:37 GMT 2024","3588","chromium","login.spec.ts","Login form","","","should show errors, if fields empty",""
"passed","Sun Aug 18 01:30:59 GMT 2024","Sun Aug 18 01:31:04 GMT 2024","4783","webkit","registration.spec.ts","Registration page","","","should have validation",""
"passed","Sun Aug 18 01:23:37 GMT 2024","Sun Aug 18 01:23:40 GMT 2024","2725","chromium","login.spec.ts","Login form","","","should show error, if email field filled, but it is not an email",""
"failed","Sun Aug 18 01:26:15 GMT 2024","Sun Aug 18 01:26:19 GMT 2024","4678","firefox","login.spec.ts","Login form","","","should show error alert, if creds wrong",""
"passed","Sun Aug 18 01:25:48 GMT 2024","Sun Aug 18 01:25:49 GMT 2024","262","firefox","dashboard.spec.ts","Dashboard page","","","should have shipping countries report",""
"failed","Sun Aug 18 01:23:30 GMT 2024","Sun Aug 18 01:23:33 GMT 2024","2880","chromium","login.spec.ts","Login form","","","should show error alert, if creds wrong",""
"passed","Sun Aug 18 01:23:01 GMT 2024","Sun Aug 18 01:23:02 GMT 2024","116","chromium","dashboard.spec.ts","Dashboard page","","","should have shipping countries report",""
"passed","Sun Aug 18 01:23:40 GMT 2024","Sun Aug 18 01:23:42 GMT 2024","2758","chromium","login.spec.ts","Login form","","","should do password visible on eye button click",""
"passed","Sun Aug 18 01:29:03 GMT 2024","Sun Aug 18 01:29:08 GMT 2024","4504","webkit","login.spec.ts","Login form","","","should show errors, if fields empty",""
"passed","Sun Aug 18 01:23:01 GMT 2024","Sun Aug 18 01:23:01 GMT 2024","112","chromium","dashboard.spec.ts","Dashboard page","","","should have new urls report",""
"failed","Sun Aug 18 01:25:43 GMT 2024","Sun Aug 18 01:25:47 GMT 2024","3458","firefox","dashboard.spec.ts","Dashboard page","","","should have segments analisis",""
"passed","Sun Aug 18 01:25:47 GMT 2024","Sun Aug 18 01:25:48 GMT 2024","1109","firefox","dashboard.spec.ts","Dashboard page","","","should have words cloud",""
